V1,Breast_pvalue,reject,fdr_pvalue
CAV1,0.147486699041007,False,0.21717078161542774
CBX3,0.0514427322806843,False,0.1205337011832092
CCL2,0.195555693478511,False,0.2564354185531973
CCNB1,0.153200896962139,False,0.22136820673712473
CCNB2,0.0231732217915054,False,0.08599542422049981
CCND1,0.0151859406018391,False,0.07676672335732837
CCNE1,0.156145893003839,False,0.22426322887799693
CCNF,0.513327729979703,False,0.5214500041882426
CCNG1,0.21304553141057,False,0.26766190051973765
CCNH,0.191473344837296,False,0.2543719229874925
CCNO,0.027419515895418,False,0.09377173270493838
CD82,0.0265822307939934,False,0.091751570805074
CDC16,0.304183720662097,False,0.34021942276143946
CDC20,0.0357769655419878,False,0.10584705934542014
CDC25A,0.0874775781013875,False,0.16421229573418356
CDC25C,0.034637970576042,False,0.10584705934542014
CDC42,0.0244236195164702,False,0.08785000165125988
CDC6,0.128714512755232,False,0.19769071097813146
CDH1,0.130030991828093,False,0.19867025466362778
CDK1,0.0194319721188505,False,0.07997003910450014
CDK2,0.123302181657185,False,0.19307317225344578
CDK4,0.0547149901926742,False,0.12545365608463158
CDK6,0.116336585540864,False,0.1883786954325813
CDK7,0.260837076654324,False,0.30626476147894693
CDKN1A,0.0004271776942718,True,0.0192831311023248
CDKN2A,0.030083521707531,False,0.09955474709399435
CDKN2B,0.207206886059109,False,0.26303919203382997
CDKN2D,0.166465539418413,False,0.23414544366885287
CDKN3,0.0059047076859232,False,0.05122732884273911
CFL1,0.0334539718766721,False,0.1047680485113341
CFLAR,0.191769487112066,False,0.2543719229874925
CHD4,0.0123096671473008,False,0.06697293481836537
CHEK1,0.166145612979282,False,0.23414544366885287
CHEK2,0.0150961524472542,False,0.07676672335732837
CHUK,0.0354548467511763,False,0.10584705934542014
CIB1,0.086739037938937,False,0.16330340867096058
COL4A3,0.167173281772674,False,0.2343346002140976
COX4I1,0.207963908265655,False,0.2633389134251489
COX5A,0.0331215139782206,False,0.1042353528138119
COX5B,0.0426373364148971,False,0.11262998355740551
COX6A1,0.269076436684215,False,0.3125677525961482
COX6B1,0.0356315010677314,False,0.10584705934542014
COX6C,0.0452283303887587,False,0.11342417230305894
COX7A2,0.21473739694485,False,0.26926056413787836
COX7A2L,0.233421388212382,False,0.2859857466266207
COX7B,0.0853340634080588,False,0.16113079031756986
COX8A,0.273290831469493,False,0.31443138674447046
CRADD,0.0041322034704616,True,0.04823408414611541
CRK,0.0058768529030909,False,0.05122732884273911
CRY1,0.0409614499472696,False,0.11238141395789353
CTNNB1,0.166657326543024,False,0.23414544366885287
CTSB,0.547387073640058,False,0.55429416605192
CTSK,0.0638640250156096,False,0.13691965584437793
CTSL,0.0439600712783955,False,0.11331978138338403
CTTN,0.293851312618925,False,0.33096937316026287
CXCL11,0.0307879036458476,False,0.09997410963447086
CXCL12,0.0714861643823663,False,0.14546685979524124
CXCL13,0.000728286221844,True,0.02355647721442098
CXCL14,0.0131821507712413,False,0.0693683671732534
CXCL3,0.11768012713077,False,0.18907359333776105
CXCL5,0.521143258458614,False,0.528552878247125
CXCL6,0.173572516265654,False,0.23999973643196892
CXCL9,0.0002045710325243,True,0.011939509352781874
CXCR4,0.0112383202744155,False,0.06328948786118203
CYB561D1,0.0018975458082883,True,0.03144903830940271
CYC1,0.0258819441211485,False,0.09129784684493043
CS,0.0107502956251254,False,0.06328948786118203
CSF1,0.0404062396968302,False,0.11215140379288077
CSNK2A2,0.112952166165465,False,0.18594367754819074
CST7,0.0051392640673562,False,0.05082354959782845
DAPK1,0.186991513096397,False,0.2506232806010164
DAXX,0.0001528035909106,True,0.011939509352781874
DCLRE1C,0.149905435315763,False,0.21922389401530717
DDB1,0.0773041414701001,False,0.15039280998321766
DDB2,0.0242980687763408,False,0.08785000165125988
DEDD,0.37060411083066,False,0.3972084126098226
DEDD2,0.275067505165816,False,0.3154253962000563
DIAPH1,0.318463962688627,False,0.35311548194490244
DKC1,0.279504049452124,False,0.31929110275491746
DLAT,0.0210287629554753,False,0.08167487499869297
DLD,0.0019897621367027,True,0.03144903830940271
DLST,0.0217827181171103,False,0.08298984859133571
DMC1,0.429193439440168,False,0.4444228840654643
DNAJB1,0.0102915424189159,False,0.06277178200571161
DNMT1,0.0284204943531848,False,0.09503102799346168
DPP4,0.0091362001494399,False,0.06180218956904519
E2F1,0.202628393735637,False,0.2606191833963361
E2F3,0.0164684060084281,False,0.07692094023310216
EDIL3,0.10295117497644,False,0.1743922277965026
EDN1,0.0437906125509116,False,0.11331978138338403
EGF,0.0169867435959428,False,0.07692094023310216
EGFR,0.269236709011947,False,0.3125677525961482
EGR1,0.241789284902427,False,0.29123587412262314
ELK1,0.198873964057932,False,0.25897988828639423
EME1,0.0578911166616471,False,0.12823493026691432
ENAH,0.0346536138372081,False,0.10584705934542014
ENO1,0.0180753360688325,False,0.0773624383746031
ENO2,0.0366975643087859,False,0.10612538867675923
ENO3,0.113114270374119,False,0.18594367754819074
ERBB2,0.118220429038277,False,0.18927061207624396
ERCC1,0.0005798600978568,True,0.021898246048474446
ERCC2,0.0575725715595715,False,0.12823493026691432
ERCC3,0.379210866877787,False,0.4019199129281726
ERCC4,0.373393571675817,False,0.3977249166474486
ERCC5,0.0338367633666715,False,0.10477958001927076
ERCC6,0.0282805398725885,False,0.09503102799346168
ERCC8,0.0581251786723864,False,0.12823493026691432
EREG,0.33570475459753,False,0.36591248293992235
ESR1,0.323225685829798,False,0.35748817007890593
ETS1,0.23269213862814,False,0.2856373862318659
ETS2,0.075290605889541,False,0.1486236101992315
ETV4,0.147844762624262,False,0.21719985721916749
EWSR1,0.0939573458484089,False,0.16755726676299587
EXO1,0.0056705975143544,False,0.05122732884273911
EZR,0.140914836375373,False,0.21087954534496378
F3,0.138333012155104,False,0.20798546558214698
